,,,,,,,,,,,,,
Input 1,Input 2,Input 3,Input 4,,a,b,c,d,e,f,g,num,HEX
,,,,,,,,,,,,,
0,0,0,0,,1,1,1,1,1,1,0,0,0
0,0,0,1,,0,1,1,0,0,0,0,1,1
0,0,1,0,,1,1,0,1,1,0,1,2,2
0,0,1,1,,1,1,1,1,0,0,1,3,3
0,1,0,0,,0,1,1,0,0,1,1,4,4
0,1,0,1,,1,0,1,1,0,1,1,5,5
0,1,1,0,,1,0,1,1,1,1,1,6,6
0,1,1,1,,1,1,1,0,0,0,0,7,7
1,0,0,0,,1,1,1,1,1,1,1,8,8
1,0,0,1,,1,1,1,1,0,1,1,9,9
1,0,1,0,,1,1,1,0,1,1,1,10,A
1,0,1,1,,0,0,1,1,1,1,1,11,b
1,1,0,0,,1,0,0,1,1,1,0,12,C
1,1,0,1,,0,1,1,1,1,0,1,13,d
1,1,1,0,,1,0,0,1,1,1,1,14,E
1,1,1,1,,1,0,0,0,1,1,1,15,F